upper_case,lower_case
A,a
B,b
Ɓ,ɓ
C,c
D,d
Ɖ,ɖ
E,e
Ɛ,ɛ
Ǝ,ǝ
F,f
G,g
Ɣ,ɣ
H,h
X,x
I,i
J,j
K,k
L,l
M,m
N,n
Ŋ,ŋ
O,o
Ɔ,ɔ
P,p
R,r
S,s
Ʃ,ʃ
T,t
U,u
V,v
Ʋ,ʋ
W,w
Y,y
Z,z
Ʒ,ʒ
